m,n,DM,ADM,IM,AIM
100,10,0.213,0.141,0.115,0.162
100,20,0.135,0.104,0.079,0.158
100,50,0.124,0.094,0.106,0.139
100,100,0.104,0.093,0.105,0.128
100,200,0.09,0.075,0.1,0.126
100,300,0.085,0.076,0.115,0.154
