m,n,DM,ADM,IM,AIM
100,10,0.147,0.09,0.06,0.071
100,20,0.078,0.059,0.046,0.066
100,50,0.066,0.052,0.054,0.067
100,100,0.054,0.063,0.043,0.054
100,200,0.045,0.04,0.06,0.067
100,300,0.043,0.038,0.063,0.092
