Period,LengthObs,LengthOut,TimePhiObs1,TimeEstLCV1,TimeEstLACV1,TimePhiObs2,TimeEstLCV2,TimeEstLACV2
Yearly,31.324,6.000,0.187,0.001,0.133,0.518,0.001,0.133
Quarterly,92.254,8.000,4.251,0.001,0.168,1.696,0.001,0.168
Monthly,216.300,18.000,53.218,0.002,0.413,24.646,0.002,0.409
Weekly,1022.039,13.000,4.350,0.004,8.718,8.614,0.004,8.597
Daily,2357.383,14.000,10.883,0.006,116.555,8.958,0.006,116.624
Hourly,853.865,48.000,687.867,0.006,3.335,2788.957,0.006,3.326
All,240.020,12.777,29.931,0.002,5.241,24.312,0.002,5.242
