Period,N,LossOptimal,SelectedAIC,LossAIC,SelectedCV,LossCV,SelectedACV,LossACV,LossRelGainAIC,LossRelGainCV
Yearly,23000,10.816,0.497,12.217,0.523,12.014,0.520,12.021,-14.0***,0.6   
,,(0.083),(0.003),(0.095),(0.003),(0.092),(0.003),(0.093),,
Quarterly,24000,7.977,0.491,8.839,0.533,8.620,0.530,8.621,-25.3***,0.1   
,,(0.070),(0.003),(0.078),(0.003),(0.075),(0.003),(0.075),,
Monthly,48000,9.079,0.527,9.721,0.568,9.651,0.565,9.654,-10.4***,0.6   
,,(0.051),(0.002),(0.055),(0.002),(0.055),(0.002),(0.055),,
Weekly,359,6.551,0.557,6.812,0.604,6.939,0.643,6.881,26.2   ,-15.0*  
,,(0.367),(0.026),(0.375),(0.026),(0.399),(0.025),(0.396),,
Daily,4227,1.874,0.490,2.018,0.504,1.930,0.494,1.930,-61.4** ,-0.4   
,,(0.061),(0.008),(0.084),(0.008),(0.068),(0.008),(0.068),,
Hourly,414,9.767,0.621,11.775,0.686,10.647,0.696,10.479,-64.5***,-19.1   
,,(0.627),(0.024),(0.800),(0.023),(0.684),(0.023),(0.674),,
All,100000,8.903,0.510,9.756,0.547,9.615,0.544,9.618,-16.2***,0.4   
,,(0.036),(0.002),(0.040),(0.002),(0.039),(0.002),(0.039),,
